,L_HALPHA (total),log L_HALPHA (total),L_HBETA (total),log L_HBETA (total),L_OIII5007 (total),log L_OIII5007 (total),L_NII6583 (total),log L_NII6583 (total),L_SII6716 (total),log L_SII6716 (total),L_SII6731 (total),log L_SII6731 (total),L_OII3726 (total),log L_OII3726 (total),L_OII3729 (total),log L_OII3729 (total)
NGC1808,6.157229023372387e+41,41.78938530784469,2.1510834044811493e+41,41.33265724971972,3.7329613381026946e+40,40.57205349200624,3.192802746531016e+41,41.504172088367405,7.790954942428138e+40,40.89159069269303,6.711616255609901e+40,40.826827117243255,0.0,-inf,0.0,-inf
NGC2110,1.4408084317092752e+41,41.15860624133986,4.981591934231552e+40,40.697368149541354,2.3286463335616334e+41,41.367103534457485,1.8266167940422557e+41,41.261647446264014,7.254020520196821e+40,40.86057877977979,6.862499857765306e+40,40.8364823484568,9.784587682946582e+40,40.990542529452995,1.2094686501179303e+41,41.08259461576756
NGC2217,1.7720729942143525e+40,40.24848160712868,5.933421055504423e+39,39.77330516842741,1.9578654447912462e+40,40.291782841403446,3.0321680900571474e+40,40.481753273002504,1.293571927418626e+40,40.111790582115205,9.53427105173107e+39,39.979287494412695,1.9032774556017808e+40,40.279502103396574,1.6374985820731146e+40,40.21418093260392
NGC2617,1.873564600623429e+41,41.27266867218861,6.347872589471031e+40,40.802628201283035,4.165006348061582e+40,40.61961566766982,8.933983414575028e+40,40.95104514189391,3.505857860984743e+40,40.54479430438717,2.51236382364331e+40,40.40008253122734,9.926883271954818e+39,39.99681291513589,6.41117022975376e+39,39.80693730844842
NGC2945,5.023237949394071e+40,40.70098375105646,1.6241432921332576e+40,40.21062434278539,1.3557333195836287e+40,40.13217426974968,5.172359478278904e+40,40.71368870066459,1.9889581647525833e+40,40.29862564837925,1.4541483497812027e+40,40.16260871477946,1.4285432465093687e+40,40.1548933923814,7.763654994676783e+39,39.890066227741926
NGC2974,9.04726663386788e+39,39.95651738968789,3.060845671022197e+39,39.48584143285996,7.700250809260894e+39,39.886504871056125,1.794535265649968e+40,40.25395199737346,5.483673421967865e+39,39.73907158264911,3.417611564497819e+39,39.53372270057854,5.470159275959397e+39,39.7379999719757,4.429445592737921e+39,39.64634937157696
NGC2992,2.557567365978885e+41,41.40782708179283,8.788076426516078e+40,40.94389382515674,4.997034165137449e+41,41.698712318760165,1.992265084302821e+41,41.299347123741576,5.784654267457688e+40,40.76227740750173,5.320874702737142e+40,40.72598303217213,0.0,-inf,0.0,-inf
NGC3100,1.8032421998030495e+40,40.25605406225968,6.530869861185747e+39,39.8149710297825,6.168397096283245e+39,39.79017232405286,1.783948025116156e+40,40.251382197162265,8.292028309381409e+39,39.918660776126494,5.4353027006097185e+39,39.735223735642876,0.0,-inf,0.0,-inf
NGC3281,1.1625240394494254e+41,41.06540194228654,4.0414356856313637e+40,40.606535671938815,2.7096350715298943e+41,41.43291080486234,1.0747354718572282e+41,41.03130158308899,3.1079326703640308e+40,40.4924716017614,2.3976903350493395e+40,40.37979309266465,2.8193808149867434e+40,40.45015374017721,1.738293896749991e+40,40.2401232053383
NGC3312,4.596098616863709e+40,40.662389338619434,1.4879305563778976e+40,40.172582662603915,3.4018031815391426e+40,40.531709182984905,5.878551385785671e+40,40.76927031881951,2.8127026986869116e+40,40.44912382987467,2.083966872402189e+40,40.31889081095797,3.0076394250332465e+40,40.4782257690523,5.153532216971981e+40,40.71210499535426
NGC3390,7.091775678013681e+39,39.85075498985308,1.8337283486196766e+39,39.26333499903647,1.3465465006563524e+39,39.1292213556159,1.0352865734272847e+40,40.015060581707225,3.3044744720649656e+39,39.51910240118023,2.5142924018902437e+39,39.40041578295337,2.8600225993247635e+38,38.45636946485046,1.5032823185112902e+38,38.17704054935455
NGC3393,3.940666789426861e+41,41.59556971382241,1.37327981797597e+41,41.137759037616455,1.28768709190163e+42,42.109810342239406,3.849452975690444e+41,41.585399018724566,1.1058076611519033e+41,41.043679594451035,1.0304626030840546e+41,41.0130322352526,1.4971354797362932e+41,41.17526110257391,1.577204142877873e+41,41.19788790917384
NGC3783,1.6205064368340994e+41,41.20965076043826,5.654546211174111e+40,40.75239775764507,4.1244368868343675e+41,41.61536466230787,8.111490258350709e+40,40.90910065094621,1.709728029588809e+40,40.2329270316537,1.3489714976833817e+40,40.130002773593624,1.4558860089231762e+40,40.16312737248137,2.665352054074291e+40,40.42575458110883
NGC3831,2.1067731369092976e+40,40.32361777210882,8.710045074318949e+39,39.94002040247923,9.396436007872565e+39,39.972963160449105,2.513837267858896e+40,40.40033716039911,1.0549143645976298e+40,40.0232172060866,7.692035412755047e+39,39.88604127498515,1.974480650936363e+39,39.295452882193736,4.184531057192453e+39,39.62164679549897
NGC3858,1.2266054152100447e+41,41.088704877676314,3.9892488499287575e+40,40.60089112850838,7.894094016949357e+39,39.89730229444348,4.427806694195007e+40,40.64618865252354,1.104114058914566e+40,40.04301393987737,6.296922954077003e+39,39.799128379529805,3.768655724862028e+38,38.57618646548839,0.0,-inf
NGC424,2.6956806194486583e+41,41.4306684362952,9.182040999358917e+40,40.96293922763231,5.0295011048506285e+41,41.701524907887716,1.8118964354699995e+41,41.2581333706094,2.5804341542401147e+40,40.41169278151679,2.6359637282158537e+40,40.4209394299189,8.37830869058795e+39,39.923156357475335,5.685104230863762e+40,40.75473843146421
NGC4303,8.4082664012423115e+40,40.92470646310066,2.8732552207228502e+40,40.45837420449131,1.6045564625528763e+40,40.205355004039006,5.283836239858167e+40,40.722949349209706,1.3287706621742525e+40,40.123450030794565,9.9780645408059e+39,39.9990463087458,7.290891060036242e+39,39.862780609087274,1.273173126699431e+40,40.104887463243564
NGC4404,1.4235426690992935e+40,40.15337048916941,8.463432104240712e+39,39.927546514536466,3.9896139266234713e+39,39.60093087121321,1.233978599312539e+40,40.091307627864914,6.362298684947238e+39,39.803614053670984,4.0366748327430903e+39,39.60602376698945,3.065080951163127e+39,39.48644194905972,0.0,-inf
NGC4418,5.65507760644556e+39,39.752438569264974,1.4643693861318158e+39,39.1656506410146,7.161327937804283e+38,38.85499356177527,4.187973307530619e+39,39.622003904996035,1.7174059414580763e+39,39.23487296103038,1.3187380111050273e+39,39.120158524407,0.0,-inf,7.856087847944574e+38,38.895206331151634
NGC4472,4.1370106884031523e+37,37.61668664294253,9.671739420192198e+37,37.98550458707758,1.5178536787716682e+39,39.181229907550964,4.177498257764197e+38,38.6209162774419,1.0517297405359384e+39,39.021904154957454,2.8888411028493353e+38,38.460723654667476,2.084938796244267e+38,38.31909331070377,2.5231384673650733e+38,38.40194108482691
NGC4507,4.62340399292526e+41,41.66496184373712,1.6075918369228843e+41,41.2061757922523,1.0029868621163232e+42,42.001295244338706,2.2364964173375763e+41,41.34956820680925,9.03887573098783e+40,40.95611441563107,7.532809977408773e+40,40.87695701206239,1.7008217818967195e+41,41.23065880908948,1.3983319984239855e+41,41.145610295848606
NGC4593,1.4720394109987576e+40,40.167919437549145,5.861917303388459e+39,39.76803968736489,5.224404367185747e+39,39.71803678381851,1.294653920550713e+40,40.11215369082495,1.670425505561856e+39,39.22282711257229,9.904389795501923e+38,38.9958277240331,1.1885311799120067e+38,38.075010579489614,0.0,-inf
